SS,FR,DD,D,AL,Predicted,Error,SiC,Predicted.1,Error.1,Neat ,Predicted.2,Error.2,Desirability index,Composite desirability,Rank
3500.0,0.02,8.0,Core,1.007,1.001118,0.5841112214498454,1.018,0.999558,1.8115913555992207,1.218,1.2240779999999998,-0.4990147783251072,0.03461538461538465,0.009074943436810137,58
3500.0,0.02,6.0,Core,0.968,0.9580580000000001,1.0270661157024685,0.963,0.9485859999999999,1.4967808930425792,1.189,1.1955179999999999,-0.54819175777963,0.10961538461538452,0.05183553564176563,48
3500.0,0.02,6.0,Step,0.635,0.628058,1.0932283464566934,0.672,0.6539860000000001,2.680654761904758,0.993,0.992718,0.028398791540785947,0.75,0.692680452168075,8
3500.0,0.02,8.0,Twist,0.825,0.8251180000000001,-0.014303030303051339,0.831,0.8152580000000001,1.8943441636582206,1.125,1.1238779999999997,0.09973333333335906,0.3846153846153846,0.25015675733705117,38
3500.0,0.03,6.0,Core,0.973,0.9633550000000002,0.99126413155188,0.972,0.9564389999999998,1.600925925925942,1.193,1.2004750000000002,-0.626571668063715,0.0999999999999999,0.044413031994299926,54
5500.0,0.03,8.0,Step,0.678,0.660119,2.6373156342182944,0.723,0.6851069999999999,5.241078838174283,1.025,1.0402689999999997,-1.489658536585342,0.6673076923076922,0.5647707627416854,17
3500.0,0.02,6.0,Twist,0.786,0.782258,0.4760814249363897,0.792,0.7767860000000001,1.9209595959595895,1.089,1.0971179999999998,-0.7454545454545315,0.4596153846153845,0.3446145860244144,28
3500.0,0.02,4.0,Core,0.902,0.8995100000000001,0.2760532150775921,0.923,0.906494,1.7882990249187454,1.153,1.16023,-0.627059843885522,0.23653846153846136,0.1272814349049906,43
5500.0,0.01,4.0,Step,0.505,0.5332169999999999,-5.587524752475235,0.602,0.5814369999999998,3.4157807308970467,0.918,0.9313870000000001,-1.4582788671024007,1.0,1,1
3500.0,0.02,6.0,Step,0.635,0.628058,1.0932283464566934,0.672,0.6539860000000001,2.680654761904758,0.993,0.992718,0.028398791540785947,0.75,0.692680452168075,8
1500.0,0.02,6.0,Step,0.652,0.6533779999999999,-0.21134969325151523,0.703,0.6826660000000001,2.892460881934545,1.01,0.997718,1.2160396039603976,0.7173076923076922,0.6250816144558893,15
3500.0,0.01,6.0,Twist,0.782,0.7771410000000002,0.6213554987212067,0.789,0.772653,2.0718631178707225,1.084,1.0947409999999997,-0.9908671586715558,0.46730769230769215,0.3557031607182409,27
3500.0,0.02,6.0,Core,0.968,0.9580580000000001,1.0270661157024685,0.963,0.9485859999999999,1.4967808930425792,1.189,1.1955179999999999,-0.54819175777963,0.10961538461538452,0.05183553564176563,48
5500.0,0.02,6.0,Step,0.618,0.6027380000000001,2.4695792880258716,0.656,0.625306,4.678963414634146,0.957,0.987718,-3.209822361546502,0.7826923076923077,0.7756671415494122,6
3500.0,0.02,6.0,Twist,0.786,0.782258,0.4760814249363897,0.792,0.7767860000000001,1.9209595959595895,1.089,1.0971179999999998,-0.7454545454545315,0.4596153846153845,0.3446145860244144,28
3500.0,0.02,6.0,Twist,0.786,0.782258,0.4760814249363897,0.792,0.7767860000000001,1.9209595959595895,1.089,1.0971179999999998,-0.7454545454545315,0.4596153846153845,0.3446145860244144,28
5500.0,0.03,4.0,Step,0.562,0.5475429999999999,2.572419928825652,0.615,0.5912109999999999,3.8681300813008224,0.922,0.9397530000000001,-1.9254880694143186,0.8903846153846152,0.9237497539779727,2
5500.0,0.01,4.0,Twist,0.702,0.689217,1.8209401709401694,0.752,0.7211369999999999,4.104122340425543,1.048,1.0580869999999998,-0.9624999999999747,0.6211538461538462,0.4898206704776058,21
3500.0,0.02,4.0,Twist,0.726,0.72391,0.2878787878787776,0.768,0.7471940000000001,2.7091145833333177,1.062,1.0636299999999999,-0.1534839924670243,0.575,0.4402745174156947,23
1500.0,0.01,8.0,Twist,0.843,0.841577,0.16880189798338696,0.851,0.841049,1.1693301997649743,1.129,1.1246669999999999,0.3837909654561685,0.3499999999999999,0.2229561782358187,39
3500.0,0.02,6.0,Step,0.635,0.628058,1.0932283464566934,0.672,0.6539860000000001,2.680654761904758,0.993,0.992718,0.028398791540785947,0.75,0.692680452168075,8
3500.0,0.02,6.0,Step,0.635,0.628058,1.0932283464566934,0.672,0.6539860000000001,2.680654761904758,0.993,0.992718,0.028398791540785947,0.75,0.692680452168075,8
3500.0,0.02,6.0,Twist,0.786,0.782258,0.4760814249363897,0.792,0.7767860000000001,1.9209595959595895,1.089,1.0971179999999998,-0.7454545454545315,0.4596153846153845,0.3446145860244144,28
1500.0,0.02,6.0,Twist,0.805,0.807578,-0.3202484472049651,0.802,0.8054660000000001,-0.43216957605986034,1.103,1.100118,0.2612873980054443,0.4230769230769229,0.3074785828992568,35
3500.0,0.02,4.0,Step,0.595,0.56811,4.519327731092432,0.621,0.608894,1.9494363929146459,0.927,0.9394300000000001,-1.340884573894288,0.826923076923077,0.8768036339459468,3
